Bedroom,Bathroom,Property Size,# of Floors,Total Units,Parking Lot,Property Age,Tenure Type Encoded,Property Type Encoded,Land Title Encoded,Transit Zone,Facility Count,Facility Tier,State_Kedah,State_Kelantan,State_Kuala Lumpur,State_Melaka,State_Negeri Sembilan,State_Other,State_Pahang,State_Penang,State_Perak,State_Putrajaya,State_Sabah,State_Sarawak,State_Selangor,State_Terengganu,price
3.0,2.0,1334.0,30.0,1039.0,2.0,7.0,1,1,2,1,12,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,950000.0
1.0,1.0,705.0,41.0,1040.0,1.0,11.0,1,5,2,1,11,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,375000.0
3.0,2.0,689.0,20.0,462.0,1.0,12.0,1,0,2,0,4,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,200000.0
3.0,2.0,1700.0,20.0,462.0,1.0,12.0,0,1,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,580000.0
3.0,2.0,958.0,17.0,462.0,1.0,12.0,0,0,1,0,6,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,228000.0
3.0,2.0,965.0,16.0,228.0,1.0,11.0,0,1,1,1,4,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,368000.0
3.0,2.0,1120.0,20.0,462.0,1.0,12.0,0,0,2,0,5,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,530000.0
4.0,3.0,1654.0,15.0,198.0,2.0,28.0,1,1,2,1,11,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,670000.0
3.0,2.0,1000.0,13.0,445.0,1.0,19.0,1,0,2,1,7,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,295000.0
3.0,2.0,700.0,16.0,476.0,1.0,27.0,1,1,2,0,6,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,320000.0
3.0,2.0,1400.0,20.0,462.0,2.0,12.0,0,4,2,1,3,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,410000.0
3.0,2.0,650.0,20.0,462.0,1.0,12.0,1,0,2,1,14,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,100000.0
2.0,1.0,560.0,20.0,462.0,3.0,12.0,0,3,1,1,3,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,148000.0
3.0,2.0,900.0,20.0,462.0,2.0,12.0,0,5,2,0,14,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,380500.0
3.0,2.0,1598.0,42.0,670.0,2.0,9.0,1,1,2,0,7,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,620000.0
3.0,2.0,900.0,20.0,462.0,2.0,12.0,0,5,2,0,14,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,380000.0
3.0,2.0,900.0,20.0,462.0,2.0,12.0,0,5,2,0,14,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,380300.0
3.0,2.0,1001.0,22.0,246.0,2.0,20.0,1,0,2,1,5,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,280000.0
3.0,2.0,850.0,15.0,462.0,1.0,12.0,1,0,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,300000.0
4.0,2.0,1180.0,20.0,462.0,1.0,12.0,1,0,2,0,8,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,298000.0
4.0,2.0,1385.0,20.0,42.0,1.0,12.0,1,0,2,0,5,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,469000.0
3.0,2.0,800.0,5.0,462.0,1.0,12.0,1,0,2,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,270000.0
3.0,2.0,983.0,23.0,462.0,1.0,12.0,1,1,1,1,8,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,320000.0
3.0,3.0,1515.0,15.0,198.0,1.0,28.0,1,1,2,1,11,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,550000.0
3.0,3.0,1711.0,20.0,462.0,1.0,12.0,0,1,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,470000.0
3.0,2.0,850.0,20.0,1440.0,1.0,11.0,0,1,2,1,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,245000.0
