Bedroom,Bathroom,Property Size,# of Floors,Total Units,Parking Lot,Property Age,Tenure Type Encoded,Property Type Encoded,Land Title Encoded,Transit Zone,Facility Count,Facility Tier,State_Kedah,State_Kelantan,State_Kuala Lumpur,State_Melaka,State_Negeri Sembilan,State_Other,State_Pahang,State_Penang,State_Perak,State_Putrajaya,State_Sabah,State_Sarawak,State_Selangor,State_Terengganu
3.0,2.0,1295.0,20.0,462.0,1.0,12.0,1,1,2,1,8,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,680.0,5.0,462.0,1.0,12.0,1,0,1,1,14,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4.0,3.0,2400.0,35.0,195.0,2.0,15.0,1,1,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2.0,2.0,900.0,35.0,302.0,1.0,18.0,1,1,2,1,9,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,800.0,22.0,1343.0,1.0,9.0,1,1,2,0,13,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2.0,1.0,600.0,20.0,462.0,1.0,12.0,1,5,2,0,4,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2.0,2.0,751.0,19.0,462.0,1.0,35.0,0,1,2,1,9,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,1.0,654.0,38.0,554.0,1.0,12.0,1,0,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3.0,2.0,1227.0,41.0,1115.0,2.0,8.0,1,5,2,1,14,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,650.0,20.0,462.0,1.0,12.0,1,3,2,1,14,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1400.0,5.0,462.0,1.0,12.0,1,0,2,0,7,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,900.0,42.0,2685.0,2.0,7.0,1,1,2,0,5,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1.0,1.0,770.0,20.0,462.0,1.0,12.0,0,4,2,0,8,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3.0,2.0,850.0,20.0,462.0,1.0,12.0,1,0,2,0,14,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,2.0,860.0,20.0,462.0,1.0,12.0,0,0,1,1,4,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3.0,2.0,1300.0,4.0,462.0,2.0,12.0,0,0,2,0,5,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1.0,1.0,552.0,20.0,462.0,1.0,12.0,0,5,2,0,7,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3.0,2.0,1333.0,35.0,245.0,2.0,7.0,1,1,2,1,10,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False
